entity	2019	2020	prc_change
Albcontrol	220764	101688	-53.94
ANA LUX	79811	42399	-46.88
ANS CR	850179	325056	-61.77
ANS Finland	270327	109883	-59.35
ARMATS	66927	20665	-69.12
Austro Control	1108735	497114	-55.16
Avinor	595874	347442	-41.69
BULATSA	879365	376294	-57.21
Croatia Control	707995	300241	-57.59
DCAC Cyprus	411460	164240	-60.08
DFS	3118176	1367428	-56.15
DHMI	1506465	674653	-55.22
DSNA	3302045	1365393	-58.65
EANS	227479	96222	-57.7
ENAIRE	2150606	852822	-60.35
ENAV	1831377	723363	-60.5
EUROCONTROL Area (MS)	10995092	4940165	-55.07
HCAA	883924	382369	-56.74
HungaroControl (EC)	887821	379657	-57.24
IAA	647009	263494	-59.28
LFV	771056	328618	-57.38
LGS	296591	129383	-56.38
LPS	561876	200778	-64.27
LVNL	631663	296646	-53.04
M-NAV	222590	95453	-57.12
MATS	132255	56621	-57.19
MOLDATSA	55299	21704	-60.75
MUAC	1862754	832888	-55.29
NATS (Continental)	2536427	1004515	-60.4
NAV Portugal (Continental)	647617	265590	-58.99
NAVIAIR	683152	280286	-58.97
Oro Navigacija	267733	123280	-53.95
PANSA	892362	365056	-59.09
ROMATSA	747200	320082	-57.16
Sakaeronavigatsia	138371	64766	-53.19
SES Area (RP1)	10303350	4590270	-55.45
skeyes	639865	289943	-54.69
Skyguide	1310481	535153	-59.16
Slovenia Control	358576	152565	-57.45
SMATSA	761061	335665	-55.9
UkSATSE	306493	124909	-59.25
