AIRPORT;APT_ID;ICAO_CODE;IATA_CODE;LAT;LON;IS_PIP;IS_APDF;IS_PRR2016;IS_PRR2017;IS_PRR2018;IS_PRR2019;IS_PRR2020;APDF_NAME;NAME;PRU_NAME;DASHBOARD_NAME;CTRY_ICAO_CODE;CTRY_NAME;CTRY_ABBREVIATION;TOT_MVT_2019
EDDF;1774;EDDF;FRA;50,0333333333333;8,5705555555555595;Y;Y;Y;Y;Y;Y;Y;Frankfurt;Frankfurt;Frankfurt;Frankfurt;ED;GERMANY;Germany;513866
EHAM;2874;EHAM;AMS;52,3080555555555;4,7641666666666689;Y;Y;Y;Y;Y;Y;Y;Amsterdam - Schiphol;Amsterdam;Amsterdam;Amsterdam;EH;NETHERLANDS;Netherlands;509185
LFPG;4515;LFPG;CDG;49,0097222222222;2,5477777777777804;Y;Y;Y;Y;Y;Y;Y;Paris-Charles-de-Gaulle;Paris/Charles-De-Gaulle;Paris/Charles-De-Gaulle;Paris/Charles-De-Gaulle;LF;FRANCE;France;504887
EGLL;2476;EGLL;LHR;51,4775000000000;-0,4613888888888888;Y;Y;Y;Y;Y;Y;Y;London - Heathrow;London/Heathrow;London/Heathrow;London/Heathrow;EG;UNITED KINGDOM;United Kingdom;478081
LEMD;4015;LEMD;MAD;40,4722222222222;-3,5608333333333295;Y;Y;Y;Y;Y;Y;Y;Madrid - Barajas;Madrid/Barajas;Madrid/Barajas;Madrid/Barajas;LE;SPAIN;Spain Continental;426185
EDDM;1780;EDDM;MUC;48,3538888888889;11,7861111111111097;Y;Y;Y;Y;Y;Y;Y;Munich;Munich;Munich;Munich;ED;GERMANY;Germany;414222
LEBL;4006;LEBL;BCN;41,2969444444444;2,0783333333333296;Y;Y;Y;Y;Y;Y;Y;Barcelona;Barcelona;Barcelona;Barcelona;LE;SPAIN;Spain Continental;344508
LTFM;20358;LTFM;IST;41,2752777777778;28,7519444444444368;N;N;N;N;N;Y;Y;iGA Istanbul Airport;ISTANBUL AIRPORT;IGA Istanbul Airport;IGA Istanbul Airport;LT;TURKEY;Turkey;326125
LIRF;4394;LIRF;FCO;41,8002777777778;12,2388888888888800;Y;Y;Y;Y;Y;Y;Y;Rome - Fiumicino;Rome/Fiumicino;Rome/Fiumicino;Rome/Fiumicino;LI;ITALY;Italy;309783
EGKK;2471;EGKK;LGW;51,1480555555556;-0,1902777777777777;Y;Y;Y;Y;Y;Y;Y;London - Gatwick;London/Gatwick;London/Gatwick;London/Gatwick;EG;UNITED KINGDOM;United Kingdom;284916
LOWW;4438;LOWW;VIE;48,1102777777778;16,5697222222222180;Y;Y;Y;Y;Y;Y;Y;Vienna;Vienna;Vienna;Vienna;LO;AUSTRIA;Austria;281716
LSZH;4709;LSZH;ZRH;47,4580555555555;8,5480555555555604;Y;Y;Y;Y;Y;Y;Y;Zürich;Zurich;Zurich;Zurich;LS;SWITZERLAND;Switzerland;269223
EKCH;2908;EKCH;CPH;55,6180555555556;12,6561111111111089;Y;Y;Y;Y;Y;Y;Y;Copenhagen - Kastrup;Copenhagen/Kastrup;Copenhagen/Kastrup;Copenhagen/Kastrup;EK;DENMARK;Denmark;263434
ENGM;2941;ENGM;OSL;60,2027777777778;11,0838888888888807;Y;Y;Y;Y;Y;Y;Y;Oslo - Gardermoen;Oslo/Gardermoen;Oslo/Gardermoen;Oslo/Gardermoen;EN;NORWAY;Norway;251872
EIDW;2895;EIDW;DUB;53,4213888888889;-6,2700000000000005;Y;Y;Y;Y;Y;Y;Y;Dublin;Dublin;Dublin;Dublin;EI;IRELAND;Ireland;238044
LIMC;4361;LIMC;MXP;45,6300000000000;8,7230555555555611;Y;Y;Y;Y;Y;Y;Y;Milan - Malpensa;Milan/Malpensa;Milan/Malpensa;Milan/Malpensa;LI;ITALY;Italy;233978
ESSA;2696;ESSA;ARN;59,6519444444444;17,9186111111111082;Y;Y;Y;Y;Y;Y;Y;Stockholm - Arlanda;Stockholm/Arlanda;Stockholm/Arlanda;Stockholm/Arlanda;ES;SWEDEN;Sweden;233007
EBBR;1740;EBBR;BRU;50,9013888888889;4,4844444444444402;Y;Y;Y;Y;Y;Y;Y;Brussels;Brussels;Brussels;Brussels;EB;BELGIUM;Belgium;229281
LTFJ;2286;LTFJ;SAW;40,8983333333333;29,3091666666666590;N;N;Y;Y;Y;Y;Y;Istanbul Sabiha Gökçen;ISTANBUL/SABIHA GOKCEN;Istanbul/Sabiha Gokcen;Istanbul/Sabiha Gokcen;LT;TURKEY;Turkey;228616
EDDL;1779;EDDL;DUS;51,2808333333333;6,7572222222222198;Y;Y;Y;Y;Y;Y;Y;Dusseldorf;Dusseldorf;Dusseldorf;Dusseldorf;ED;GERMANY;Germany;225541
LFPO;4517;LFPO;ORY;48,7233333333333;2,3794444444444398;Y;Y;Y;Y;Y;Y;Y;Paris-Orly;Paris/Orly;Paris/Orly;Paris/Orly;LF;FRANCE;France;221602
LPPT;4460;LPPT;LIS;38,7741666666667;-9,1341666666666708;Y;Y;Y;Y;Y;Y;Y;Lisbon;Lisbon;Lisbon;Lisbon;LP;PORTUGAL (MADEIRA AND AZORES) (PORTUGAL);Portugal;220938
LGAV;4574;LGAV;ATH;37,9366666666667;23,9444444444444358;Y;Y;Y;Y;Y;Y;Y;Athens;Athens;Athens;Athens;LG;GREECE;Greece;220639
LEPA;4019;LEPA;PMI;39,5516666666667;2,7388888888888898;Y;Y;Y;Y;Y;Y;Y;Palma de Mallorca;Palma De Mallorca;Palma De Mallorca;Palma De Mallorca;LE;SPAIN;Spain Continental;217096
LTAI;4720;LTAI;AYT;36,9002777777778;30,7927777777777685;N;N;N;N;Y;Y;N;Antalya;Antalya;Antalya;Antalya;LT;TURKEY;Turkey;203062
EGCC;2432;EGCC;MAN;53,3538888888889;-2,2749999999999999;Y;Y;Y;Y;Y;Y;Y;Manchester;Manchester;Manchester;Manchester;EG;UNITED KINGDOM;United Kingdom;202935
EGSS;2845;EGSS;STN;51,8850000000000;0,2350000000000000;Y;Y;Y;Y;Y;Y;Y;London - Stansted;London/Stansted;London/Stansted;London/Stansted;EG;UNITED KINGDOM;United Kingdom;198511
EFHK;2395;EFHK;HEL;60,3172222222222;24,9633333333333276;Y;Y;Y;Y;Y;Y;Y;Helsinki - Vantaa;Helsinki-Vantaa;Helsinki-Vantaa;Helsinki-Vantaa;EF;FINLAND;Finland;194634
EPWA;3286;EPWA;WAW;52,1658333333333;20,9672222222222189;Y;Y;Y;Y;Y;Y;Y;Warszawa - Chopina;Warsaw/Okecie;Warsaw/Okecie;Warsaw/Okecie;EP;POLAND;Poland;194160
EDDT;1785;EDDT;TXL;52,5611111111111;13,2894444444444400;Y;Y;Y;Y;Y;Y;N;Berlin - Tegel;Berlin-Tegel;Berlin-Tegel;Berlin-Tegel;ED;GERMANY;Germany;191779
LSGG;4487;LSGG;GVA;46,2383333333333;6,1094444444444402;Y;Y;Y;Y;N;N;Y;Geneva;Geneva;Geneva;Geneva;LS;SWITZERLAND;Switzerland;179115
LLBG;4420;LLBG;TLV;32,0094444444444;34,8855555555555483;N;N;N;N;N;N;N;Ben Gurion International;Tel Aviv/Ben Gurion;Tel Aviv/Ben Gurion;Tel Aviv/Ben Gurion;LL;ISRAEL;Israel;166767
LKPR;4416;LKPR;PRG;50,1008333333333;14,2599999999999998;Y;Y;N;N;N;N;N;Prague;Prague/Ruzyne;Prague/Ruzyne;Prague/Ruzyne;LK;CZECHIA;Czech Republic;150434
EDDH;1776;EDDH;HAM;53,6302777777778;9,9883333333333297;Y;Y;N;N;N;N;N;Hamburg;Hamburg;Hamburg;Hamburg;ED;GERMANY;Germany;149221
LFMN;4125;LFMN;NCE;43,6652777777778;7,2150000000000007;Y;Y;N;N;N;N;N;Nice-Côte d’Azur;Nice;Nice;Nice;LF;FRANCE;France;145645
EGGW;2456;EGGW;LTN;51,8747222222222;-0,3683333333333333;Y;Y;N;N;N;N;N;London - Luton;London/Luton;London/Luton;London/Luton;EG;UNITED KINGDOM;United Kingdom;140958
EDDK;1778;EDDK;CGN;50,8658333333333;7,1427777777777797;Y;Y;N;N;N;N;Y;Cologne-Bonn;Cologne/Bonn;Cologne/Bonn;Cologne/Bonn;ED;GERMANY;Germany;140929
LEMG;4016;LEMG;AGP;36,6750000000000;-4,4991666666666692;Y;Y;N;N;N;N;N;Málaga;Malaga;Malaga;Malaga;LE;SPAIN;Spain Continental;140721
LTBA;4730;LTBA;ISL;40,9761111111111;28,8141666666666616;N;N;Y;Y;Y;N;N;Istanbul Atatürk;Istanbul/Ataturk;Istanbul/Ataturk;Istanbul/Ataturk;LT;TURKEY;Turkey;132657
EDDS;1784;EDDS;STR;48,6900000000000;9,2219444444444392;Y;Y;N;N;N;N;N;Stuttgart;Stuttgart;Stuttgart;Stuttgart;ED;GERMANY;Germany;132609
EGPH;2825;EGPH;EDI;55,9500000000000;-3,3725000000000001;Y;Y;N;N;N;N;N;Edinburgh;Edinburgh;Edinburgh;Edinburgh;EG;UNITED KINGDOM;United Kingdom;131457
GCLP;3220;GCLP;LPA;27,9319444444444;-15,3866666666666596;Y;Y;N;N;N;N;N;Gran Canaria;Las Palmas;Las Palmas;Las Palmas;GC;CANARY ISLANDS (SPAIN);Spain Canarias;124152
LROP;4478;LROP;OTP;44,5711111111111;26,0850000000000009;Y;Y;N;N;N;N;N;Bucharest - Otopeni;Otopeni-Intl.;Otopeni-Intl.;Otopeni-Intl.;LR;ROMANIA;Romania;122831
LHBP;4292;LHBP;BUD;47,4394444444444;19,2619444444444383;Y;Y;N;N;N;N;N;Budapest - Ferihegy;Budapest/Ferihegy;Budapest/Ferihegy;Budapest/Ferihegy;LH;HUNGARY;Hungary;122132
LFLL;4109;LFLL;LYS;45,7255555555556;5,0811111111111096;Y;Y;N;N;N;N;N;Lyon-Saint-Exupéry;Lyon/Sartolas;Lyon/Sartolas;Lyon/Sartolas;LF;FRANCE;France;116451
UKBB;5896;UKBB;KBP;50,3447222222222;30,8933333333333273;N;N;N;N;N;N;N;Kiev - Boryspil;Kiev - Borispol;Kyiv - Borispol;Kyiv - Borispol;UK;UKRAINE;Ukraine;111042
EGBB;2428;EGBB;BHX;52,4538888888889;-1,7480555555555599;Y;Y;N;N;N;N;N;Birmingham;Birmingham;Birmingham;Birmingham;EG;UNITED KINGDOM;United Kingdom;107768
LFML;4124;LFML;MRS;43,4366666666667;5,2149999999999999;Y;Y;N;N;N;N;N;Marseille-Provence;Marseille/Provence;Marseille/Provence;Marseille/Provence;LF;FRANCE;France;102011
LEAL;3845;LEAL;ALC;38,2822222222222;-0,5580555555555555;Y;Y;N;N;N;N;N;Alicante;Alicante;Alicante;Alicante;LE;SPAIN;Spain Continental;101210
