ANSP_NAME,PRU_ATC_TYPE,AUA_CODE,AUA_NAME
skeyes,APP,EBAWCTR,ANTWERP CTR
skeyes,APP,EBBRCTR,BRUSSELS CTR
skeyes,APP,EBBRTMA,APP BRUSSELS
skeyes,ACC,EBBUCTA,BRUSSELS ACC
skeyes,FIS,EBBUICTA,BRUSSELS FLT INFO
skeyes,APP,EBCICTR,CHARLEROI CTR
skeyes,APP,EBCITMA,GOSSELIES APP
skeyes,APP,EBLGCTR,LIEGE TOWER
skeyes,APP,EBLGTMA,LIEGE APP
skeyes,APP,EBOSCTR,OSTEND CTR
skeyes,APP,EBOSTMA,APP OOSTENDE
DFS,ACC,EDGGNCTA,ACCNEDGG
DFS,ACC,EDGGSCTA,ACCSEDGG
DFS,ACC,EDMMCTA,MUNCHEN ACC
DFS,ACC,EDUUUTA,KARLSRUHE UAC
DFS,ACC,EDWWCTA,BREMEN ACC
MUAC,ACC,EDYYBUTA,EDYY BRUSSELS SECTORS
MUAC,ACC,EDYYDUTA,EDYY DECO SECTORS
MUAC,ACC,EDYYHUTA,EDYY HANNOVER SECTORS
EANS,APP,EEEICTR,AMARI TOWER
EANS,APP,EETNTMA,TALLIN APPROACH
EANS,ACC,EETTCTA,TALLIN ACC
EANS,APP,EETUCTR,TARTU TOWER
Fintraffic ANS,FIS,EFETCTR,ENONTEKIO TWR
Fintraffic ANS,APP,EFHATMA,HALLI APPROACH
Fintraffic ANS,APP,EFHKTMA,HELSINKI APPROACH
Fintraffic ANS,ACC,EFINCTA,HELSINKI ACC
Fintraffic ANS,APP,EFIVTMA,IVALO TOWER
Fintraffic ANS,APP,EFJOTMA,JOENSUU APPROACH
Fintraffic ANS,APP,EFJYTMA,JYVASKYLA APPROACH
Fintraffic ANS,APP,EFKETMA,KEMI-TORNIO TOWER
Fintraffic ANS,FIS,EFKICTR,KAJAANI TWR
Fintraffic ANS,APP,EFKKCTR,KOKKOLA-PIETARSAARI
Fintraffic ANS,APP,EFKSTMA,KUUSAMO APPROACH
Fintraffic ANS,APP,EFKTTMA,KITTILA APPROACH
Fintraffic ANS,APP,EFKUTMA,KUOPIO APPROACH
Fintraffic ANS,APP,EFLPTMA,LAPPEENRANTA TOWER
Fintraffic ANS,APP,EFMATMA,MARIEHAMN TOWER
Fintraffic ANS,APP,EFOUTMA,OULU TOWER
Fintraffic ANS,APP,EFPOCTR,PORI TOWER
Fintraffic ANS,APP,EFROTMA,ROVANIEMI APPROACH
Fintraffic ANS,FIS,EFSACTR,SAVONLINNA AFIS
Fintraffic ANS,APP,EFTPTMA,PIRKKALA APPROACH
Fintraffic ANS,APP,EFTUTMA,TURKU
Fintraffic ANS,APP,EFUTTMA,UTTI APPROACH
Fintraffic ANS,APP,EFVATMA,VAASA TOWER
NATS (Continental),APP,EGAATMA,BELFAST APPROACH
NATS (Continental),APP,EGBBTMA,BIRMINGHAM APPROACH
NATS (Continental),APP,EGCCTMA,MANCHESTER APPROACH
NATS (Continental),APP,EGFFTMA,CARDIFF APPROACH
NATS (Continental),APP,EGHITMA,SOUTHAMPTON APPROACH
NATS (Continental),APP,EGLFTMA,FARNBOROUGH
NATS (Continental),APP,EGNHATZ,BLACKPOOL ATZ
NATS (Continental),APP,EGPDTMA,ABERDEEN APPROACH
NATS (Continental),APP,EGPFTMA,GLASGOW APPROACH
NATS (Continental),APP,EGPHTMA,EDINBURGH APPROACH
NATS (Continental),ACC,EGPXCTA,PRESTWICK ACC
NATS (Continental),FIS,EGPXICTA,EGPX FIC
NATS (Continental),APP,EGSSTMA,STANSTED APPROACH
NATS (Continental),ACC,EGTTCTA,LONDON CONTROL (SWANWICK)
NATS (Continental),FIS,EGTTICTA,LONDON FIR-FIC
NATS (Continental),ACC,EGTTTCTA,LONDON TMA TC
LVNL,ACC,EHAACTA,AMSTERDAM ACC(245-)
LVNL,FIS,EHAAICTA,AMSTERDAM FIC
LVNL,APP,EHAMCTR,AMSTERDAM TOWER
