AIRPORT,APT_COUNTRY,APT_NAME,DATE_FROM,FORMAT
EBBR,Belgium,Brussels,201501,IR691
EBBR,Belgium,Brussels,201502,IR691
EBBR,Belgium,Brussels,201503,IR691
EBBR,Belgium,Brussels,201504,IR691
EBBR,Belgium,Brussels,201505,IR691
EBBR,Belgium,Brussels,201506,IR691
EBBR,Belgium,Brussels,201507,IR691
EBBR,Belgium,Brussels,201508,IR691
EBBR,Belgium,Brussels,201509,IR691
EBBR,Belgium,Brussels,201510,IR691
EBBR,Belgium,Brussels,201511,IR390
EBBR,Belgium,Brussels,201512,IR390
EBBR,Belgium,Brussels,201601,IR390
EBBR,Belgium,Brussels,201602,IR390
EBBR,Belgium,Brussels,201603,IR390
EBBR,Belgium,Brussels,201604,IR390
EBBR,Belgium,Brussels,201605,IR390
EBBR,Belgium,Brussels,201606,IR390
EBBR,Belgium,Brussels,201607,IR390
EBBR,Belgium,Brussels,201608,IR390
EBBR,Belgium,Brussels,201609,IR390
EBBR,Belgium,Brussels,201610,IR390
EBBR,Belgium,Brussels,201611,IR390
EBBR,Belgium,Brussels,201612,IR390
EBBR,Belgium,Brussels,201701,IR390
EBBR,Belgium,Brussels,201702,IR390
EBBR,Belgium,Brussels,201703,IR390
EBBR,Belgium,Brussels,201704,IR390
EBBR,Belgium,Brussels,201705,IR390
EBBR,Belgium,Brussels,201706,IR390
EBBR,Belgium,Brussels,201707,IR390
EBBR,Belgium,Brussels,201708,IR390
EBBR,Belgium,Brussels,201709,IR390
EBBR,Belgium,Brussels,201710,IR390
EBBR,Belgium,Brussels,201711,IR390
EBBR,Belgium,Brussels,201712,IR390
EBBR,Belgium,Brussels,201801,IR390
EBBR,Belgium,Brussels,201802,IR390
EBBR,Belgium,Brussels,201803,IR390
EBBR,Belgium,Brussels,201804,IR390
EBBR,Belgium,Brussels,201805,IR390
EBBR,Belgium,Brussels,201806,IR390
EBBR,Belgium,Brussels,201807,IR390
EBBR,Belgium,Brussels,201808,IR390
EBBR,Belgium,Brussels,201809,IR390
EBBR,Belgium,Brussels,201810,IR390
EBBR,Belgium,Brussels,201811,IR390
EBBR,Belgium,Brussels,201812,IR390
EBBR,Belgium,Brussels,201901,IR390
EBBR,Belgium,Brussels,201902,IR390
EBBR,Belgium,Brussels,201903,IR390
EBCI,Belgium,Charleroi,201501,IR390
EBCI,Belgium,Charleroi,201502,IR390
EBCI,Belgium,Charleroi,201503,IR390
EBCI,Belgium,Charleroi,201504,IR390
EBCI,Belgium,Charleroi,201505,IR390
EBCI,Belgium,Charleroi,201506,IR390
EBCI,Belgium,Charleroi,201507,IR390
EBCI,Belgium,Charleroi,201508,IR390
EBCI,Belgium,Charleroi,201509,IR390
EBCI,Belgium,Charleroi,201510,IR390
EBCI,Belgium,Charleroi,201511,IR390
EBCI,Belgium,Charleroi,201512,IR390
EBCI,Belgium,Charleroi,201601,IR390
EBCI,Belgium,Charleroi,201602,IR390
EBCI,Belgium,Charleroi,201603,IR390
EBCI,Belgium,Charleroi,201604,IR390
EBCI,Belgium,Charleroi,201605,IR390
EBCI,Belgium,Charleroi,201606,IR390
EBCI,Belgium,Charleroi,201607,IR390
EBCI,Belgium,Charleroi,201608,IR390
EBCI,Belgium,Charleroi,201609,IR390
EBCI,Belgium,Charleroi,201610,IR390
EBCI,Belgium,Charleroi,201611,IR390
EBCI,Belgium,Charleroi,201612,IR390
EBCI,Belgium,Charleroi,201701,IR390
EBCI,Belgium,Charleroi,201702,IR390
EBCI,Belgium,Charleroi,201703,IR390
EBCI,Belgium,Charleroi,201704,IR390
EBCI,Belgium,Charleroi,201705,IR390
EBCI,Belgium,Charleroi,201706,IR390
EBCI,Belgium,Charleroi,201707,IR390
EBCI,Belgium,Charleroi,201708,IR390
EBCI,Belgium,Charleroi,201709,IR390
EBCI,Belgium,Charleroi,201710,IR390
EBCI,Belgium,Charleroi,201711,IR390
EBCI,Belgium,Charleroi,201712,IR390
EBCI,Belgium,Charleroi,201801,IR390
EBCI,Belgium,Charleroi,201802,IR390
EBCI,Belgium,Charleroi,201803,IR390
EBCI,Belgium,Charleroi,201804,IR390
EBCI,Belgium,Charleroi,201805,IR390
EBCI,Belgium,Charleroi,201806,IR390
EBCI,Belgium,Charleroi,201807,IR390
EBCI,Belgium,Charleroi,201808,IR390
EBCI,Belgium,Charleroi,201809,IR390
