id,cd,group,description
00,NA,Others,AIRLINE INTERNAL CODE
01,NA,Others,AIRLINE INTERNAL CODE
02,NA,Others,AIRLINE INTERNAL CODE
03,NA,Others,AIRLINE INTERNAL CODE
04,NA,Others,AIRLINE INTERNAL CODE
05,NA,Others,AIRLINE INTERNAL CODE
06,OA,Others,NO GATE/STAND AVAILABILITY DUE TO OWN AIRLINE ACTIVITY
09,SG,Others,SCHEDULED GROUND TIME LESS THAN DECLARED MINIMUM GROUND TIME
11,PD,Passenger and Baggage,"LATE CHECK-IN, acceptance after deadline"
12,PL,Passenger and Baggage,"LATE CHECK-IN, congestions in check-in area"
13,PE,Passenger and Baggage,"CHECK-IN ERROR, passenger and baggage"
14,PO,Passenger and Baggage,"OVERSALES, booking errors"
15,PH,Passenger and Baggage,"BOARDING, discrepancies and paging, missing checked-in passenger"
16,PS,Passenger and Baggage,"COMMERCIAL PUBLICITY/PASSENGER CONVENIENCE, VIP, press, ground meals and missing personal items"
17,PC,Passenger and Baggage,"CATERING ORDER, late or incorrect order given to supplier"
18,PB,Passenger and Baggage,"BAGGAGE PROCESSING, sorting etc."
19,PW,Passenger and Baggage,"REDUCED MOBILITY, boarding / deboarding of passengers with reduced mobility."
21,CD,Cargo and Mail,"DOCUMENTATION, errors etc."
22,CP,Cargo and Mail,LATE POSITIONING
23,CC,Cargo and Mail,LATE ACCEPTANCE
24,CI,Cargo and Mail,INADEQUATE PACKING
25,CO,Cargo and Mail,"OVERSALES, booking errors"
26,CU,Cargo and Mail,LATE PREPARATION IN WAREHOUSE
27,CE,Cargo and Mail,"DOCUMENTATION, PACKING etc (Mail Only)"
28,CL,Cargo and Mail,LATE POSITIONING (Mail Only)
29,CA,Cargo and Mail,LATE ACCEPTANCE (Mail Only)
31,GD,Aircraft and Ramp Handling,"AIRCRAFT DOCUMENTATION LATE/INACCURATE, weight and balance, general declaration, pax manifest, etc."
32,GL,Aircraft and Ramp Handling,"LOADING/UNLOADING, bulky, special load, cabin load, lack of loading staff"
33,GE,Aircraft and Ramp Handling,"LOADING EQUIPMENT, lack of or breakdown, e.g. container pallet loader, lack of staff"
34,GS,Aircraft and Ramp Handling,"SERVICING EQUIPMENT, lack of or breakdown, lack of staff, e.g. steps"
35,GC,Aircraft and Ramp Handling,AIRCRAFT CLEANING
36,GF,Aircraft and Ramp Handling,"FUELLING/DEFUELLING, fuel supplier"
37,GB,Aircraft and Ramp Handling,"CATERING, late delivery or loading"
38,GU,Aircraft and Ramp Handling,"ULD, lack of or serviceability"
